Date,Expire Date,Option Type, Strike,Contract Name,Last,Bid,Ask,Change,%Change,Volume,Open Interest,Implied Volatility
02.12.2015,04.12.2015,Call,85.00,AAPL151204C00085000,33.20,31.15,31.45,0.00,0.00%,25,160,165.63%
02.12.2015,04.12.2015,Call,90.00,AAPL151204C00090000,24.10,26.15,26.45,0.00,0.00%,19,19,137.50%
02.12.2015,04.12.2015,Call,95.00,AAPL151204C00095000,24.73,21.15,21.45,0.00,0.00%,1,84,110.94%
02.12.2015,04.12.2015,Call,100.00,AAPL151204C00100000,16.25,16.20,16.40,-1.05,-6.07%,90,566,85.94%
02.12.2015,04.12.2015,Call,101.00,AAPL151204C00101000,21.24,15.15,15.45,0.00,0.00%,42,0,80.47%
02.12.2015,04.12.2015,Call,102.00,AAPL151204C00102000,13.60,14.20,14.45,0.00,0.00%,25,27,84.38%
02.12.2015,04.12.2015,Call,103.00,AAPL151204C00103000,13.35,13.25,13.40,1.60,13.62%,24,4,78.91%
02.12.2015,04.12.2015,Call,104.00,AAPL151204C00104000,14.15,12.25,12.45,0.00,0.00%,2,5,78.91%
02.12.2015,04.12.2015,Call,105.00,AAPL151204C00105000,11.35,11.25,11.40,-0.80,-6.58%,48,167,68.36%
02.12.2015,04.12.2015,Call,106.00,AAPL151204C00106000,12.04,10.25,10.50,0.00,0.00%,3,222,71.48%
02.12.2015,04.12.2015,Call,107.00,AAPL151204C00107000,11.02,9.25,9.50,0.72,6.99%,50,154,65.43%
02.12.2015,04.12.2015,Call,108.00,AAPL151204C00108000,9.10,8.25,8.50,-0.30,-3.19%,10,221,59.38%
02.12.2015,04.12.2015,Call,109.00,AAPL151204C00109000,7.90,7.25,7.50,-0.45,-5.39%,6,200,53.32%
02.12.2015,04.12.2015,Call,110.00,AAPL151204C00110000,6.81,6.30,6.50,-0.19,-2.71%,63,853,57.72%
02.12.2015,04.12.2015,Call,111.00,AAPL151204C00111000,5.45,5.35,5.50,-2.15,-28.29%,1451,1402,50.59%
02.12.2015,04.12.2015,Call,112.00,AAPL151204C00112000,4.35,4.35,4.55,-1.02,-18.99%,19,533,46.19%
02.12.2015,04.12.2015,Call,113.00,AAPL151204C00113000,3.35,3.40,3.55,-1.05,-23.86%,86,1264,38.48%
02.12.2015,04.12.2015,Call,114.00,AAPL151204C00114000,2.53,2.53,2.61,-0.92,-26.67%,504,1434,32.91%
02.12.2015,04.12.2015,Call,115.00,AAPL151204C00115000,1.72,1.72,1.82,-0.88,-33.85%,2288,2956,31.01%
02.12.2015,04.12.2015,Call,116.00,AAPL151204C00116000,1.07,1.05,1.09,-0.71,-39.89%,6714,4477,27.49%
02.12.2015,04.12.2015,Call,117.00,AAPL151204C00117000,0.55,0.55,0.58,-0.59,-51.75%,23228,6764,25.98%
02.12.2015,04.12.2015,Call,118.00,AAPL151204C00118000,0.26,0.24,0.26,-0.37,-58.73%,34715,17675,24.85%
02.12.2015,04.12.2015,Call,119.00,AAPL151204C00119000,0.11,0.10,0.11,-0.20,-64.52%,16340,17704,25.00%
02.12.2015,04.12.2015,Call,120.00,AAPL151204C00120000,0.06,0.04,0.05,-0.08,-57.14%,17640,24178,26.17%
02.12.2015,04.12.2015,Call,121.00,AAPL151204C00121000,0.04,0.03,0.04,-0.03,-42.86%,3817,15845,30.27%
02.12.2015,04.12.2015,Call,122.00,AAPL151204C00122000,0.03,0.02,0.03,-0.01,-25.00%,2094,15899,33.59%
02.12.2015,04.12.2015,Call,123.00,AAPL151204C00123000,0.02,0.02,0.03,0.00,0.00%,1205,10191,38.28%
02.12.2015,04.12.2015,Call,124.00,AAPL151204C00124000,0.01,0.01,0.03,-0.02,-66.67%,1063,6146,42.97%
02.12.2015,04.12.2015,Call,125.00,AAPL151204C00125000,0.02,0.01,0.02,0.00,0.00%,695,12296,44.53%
02.12.2015,04.12.2015,Call,126.00,AAPL151204C00126000,0.01,0.00,0.01,0.00,0.00%,417,2716,44.53%
02.12.2015,04.12.2015,Call,127.00,AAPL151204C00127000,0.02,0.00,0.01,0.01,100.00%,197,5060,48.44%
02.12.2015,04.12.2015,Call,128.00,AAPL151204C00128000,0.01,0.00,0.02,0.00,0.00%,20,2373,52.34%
02.12.2015,04.12.2015,Call,129.00,AAPL151204C00129000,0.01,0.00,0.01,0.00,0.00%,173,1028,51.56%
02.12.2015,04.12.2015,Call,130.00,AAPL151204C00130000,0.01,0.00,0.01,0.00,0.00%,130,5018,56.25%
02.12.2015,04.12.2015,Call,131.00,AAPL151204C00131000,0.03,0.00,0.01,0.00,0.00%,19,217,59.38%
02.12.2015,04.12.2015,Call,132.00,AAPL151204C00132000,0.01,0.00,0.01,0.00,0.00%,10,25,62.50%
02.12.2015,04.12.2015,Call,133.00,AAPL151204C00133000,0.01,0.00,0.01,0.00,0.00%,801,1269,65.63%
02.12.2015,04.12.2015,Call,134.00,AAPL151204C00134000,0.02,0.00,0.01,0.00,0.00%,157,157,68.75%
02.12.2015,04.12.2015,Call,135.00,AAPL151204C00135000,0.02,0.00,0.01,0.00,0.00%,1,1488,71.88%
02.12.2015,04.12.2015,Call,140.00,AAPL151204C00140000,0.02,0.00,0.01,0.00,0.00%,60,196,87.50%
02.12.2015,04.12.2015,Put,75.00,AAPL151204P00075000,0.03,0.00,0.02,0.00,0.00%,144,146,209.38%
02.12.2015,04.12.2015,Put,80.00,AAPL151204P00080000,0.01,0.00,0.01,0.00,0.00%,21,392,168.75%
02.12.2015,04.12.2015,Put,85.00,AAPL151204P00085000,0.01,0.00,0.02,0.00,0.00%,104,522,153.13%
02.12.2015,04.12.2015,Put,90.00,AAPL151204P00090000,0.02,0.00,0.01,0.00,0.00%,230,922,118.75%
02.12.2015,04.12.2015,Put,95.00,AAPL151204P00095000,0.01,0.00,0.01,0.00,0.00%,3,1440,96.88%
02.12.2015,04.12.2015,Put,96.00,AAPL151204P00096000,0.02,0.00,0.01,0.00,0.00%,140,742,90.63%
02.12.2015,04.12.2015,Put,97.00,AAPL151204P00097000,0.01,0.00,0.01,0.00,0.00%,70,411,87.50%
02.12.2015,04.12.2015,Put,98.00,AAPL151204P00098000,0.02,0.00,0.01,0.00,0.00%,19,133,81.25%
