Date,Open,High,Low,Close,Volume,Adj Close
12/31/2007,6.67,6.75,6.65,6.73,25845200,5.99094
12/28/2007,6.85,6.87,6.68,6.7,24070400,5.964235
12/27/2007,6.87,6.94,6.8,6.84,24715700,6.088861
12/26/2007,6.71,6.92,6.68,6.89,28075200,6.13337
12/24/2007,6.75,6.79,6.71,6.75,12102200,6.008744
12/21/2007,6.8,6.85,6.72,6.79,38574200,6.044351
12/20/2007,6.76,6.84,6.68,6.79,29402600,6.044351
12/19/2007,6.8,6.84,6.68,6.76,30154300,6.017646
12/18/2007,6.85,6.89,6.71,6.81,43893100,6.062155
12/17/2007,6.88,6.93,6.75,6.8,32642300,6.053253
12/14/2007,6.92,6.96,6.86,6.89,39308200,6.13337
12/13/2007,7,7.05,6.9,6.99,52307700,6.222388
12/12/2007,7.1,7.16,6.94,7.06,51345200,6.284701
12/11/2007,7.14,7.32,6.94,6.97,51625000,6.204584
12/10/2007,7.1,7.2,7.04,7.14,46088500,6.355916
12/7/2007,7.05,7.19,7.02,7.06,32730900,6.284701
12/6/2007,7.04,7.08,6.97,7.06,43309900,6.284701
12/5/2007,7.13,7.2,6.97,6.98,60530500,6.213486
12/4/2007,7.2,7.24,6.93,6.97,55445100,6.204584
12/3/2007,7.52,7.52,7.23,7.25,34936800,6.453836
11/30/2007,7.41,7.57,7.38,7.51,44521600,6.685284
11/29/2007,7.36,7.38,7.24,7.29,33889600,6.489443
11/28/2007,7.14,7.39,7.11,7.36,45713100,6.551756
11/27/2007,7.11,7.11,6.91,7.07,35465400,6.293603
11/26/2007,7.28,7.28,7,7.03,35305100,6.257996
11/23/2007,7.12,7.23,7.02,7.19,26410300,6.400425
11/21/2007,7.05,7.15,6.87,6.95,74438500,6.186781
11/20/2007,7.46,7.46,7.01,7.24,64463900,6.444934
11/19/2007,7.65,7.66,7.33,7.34,49549000,6.533953
11/16/2007,7.94,7.94,7.62,7.7,44614000,6.854419
11/15/2007,7.98,8.05,7.75,7.78,42572800,6.925634
11/14/2007,8.07,8.15,7.86,7.98,49938500,7.103671
11/13/2007,8.07,8.07,7.87,8,48476200,7.121474
11/12/2007,8.29,8.29,7.74,7.87,70046200,7.00575
11/9/2007,8.39,8.5,8.2,8.2,49736300,7.299511
11/8/2007,8.55,8.63,8.1,8.48,72812300,7.548762
11/7/2007,8.5,8.6,8.24,8.24,50266300,7.335118
11/6/2007,8.75,8.75,8.5,8.63,29736900,7.68229
11/5/2007,8.99,8.99,8.52,8.67,46085500,7.717898
11/2/2007,8.65,8.96,8.52,8.95,54682600,7.967149
11/1/2007,8.77,8.82,8.49,8.5,40702800,7.566566
10/31/2007,8.82,8.88,8.7,8.87,51999800,7.895934
10/30/2007,8.77,8.88,8.68,8.8,27337300,7.833622
10/29/2007,8.7,8.84,8.64,8.77,41843900,7.806917
10/26/2007,8.67,8.7,8.45,8.67,34455600,7.717898
10/25/2007,8.6,8.72,8.48,8.6,37072300,7.655585
10/24/2007,8.57,8.61,8.4,8.59,35777000,7.646683
10/23/2007,8.48,8.65,8.41,8.65,33681500,7.700094
10/22/2007,8.26,8.52,8.25,8.34,44896400,7.424137
10/19/2007,8.73,8.75,8.34,8.37,56208000,7.450842
10/18/2007,8.67,8.84,8.64,8.76,29935100,7.798015
10/17/2007,8.92,8.95,8.57,8.69,40713000,7.735701
10/16/2007,8.9,9.12,8.75,8.78,50122100,7.815818
10/15/2007,9.2,9.2,8.96,8.99,50301100,8.002757
10/12/2007,8.81,9.24,8.81,9.2,92115900,8.189695
10/11/2007,8.32,8.81,8.31,8.76,92387000,7.798015
10/10/2007,8.31,8.35,8.19,8.23,35656900,7.326216
10/9/2007,8.22,8.32,8.13,8.32,44958200,7.406333
10/8/2007,8.39,8.39,8.17,8.19,32965900,7.290609
10/5/2007,8.38,8.4,8.24,8.37,37616800,7.450842
10/4/2007,8.47,8.51,8.23,8.26,47923100,7.352922
10/3/2007,8.54,8.6,8.38,8.43,46275400,7.504254
10/2/2007,8.39,8.6,8.37,8.57,53076700,7.628879
10/1/2007,8.56,8.58,8.19,8.23,55588700,7.326216
